consumeType,consumeYearMonth,consumeCountByType,countProportion,totleMoneyByType,moneyProportion,rank
1,201510,709,70.89999999999999%,3785.769999999999,71.2197260150274%,1
2,201510,211,21.099999999999998%,1256.3,23.634119820453687%,2
3,201510,36,3.5999999999999996%,168.8,3.1755467847588816%,3
4,201510,44,4.3999999999999995%,104.75000000000001,1.9706073797600285%,4
