userId,sex
2015011203,2
2015011106,1
2015011205,1
2015011219,2
2015011206,2
2015011108,2
2015011202,2
2015011230,2
2015011226,2
2015011101,2
2015011225,2
2015011103,1
2015011201,2
2015011214,1
2015011109,2
2015011117,2
2015011102,2
2015011207,2
2015011215,2
2015011129,2
2015011217,2
2015011227,2
2015011116,1
2015011218,2
2015011216,2
2015011114,2
2015011126,2
2015011210,2
2015011115,2
2015011128,2
2015011113,1
2015011127,2
2015011208,2
2015011211,2
2015011125,2
2015011229,2
2015011209,2
2015011223,1
2015011112,2
2015011124,2
2015011301,2
2015011221,2
2015011212,2
2015011110,2
2015011122,2
2015011204,2
2015011104,2
2015011228,2
2015011111,2
2015011224,2
2015011118,2
2015011220,2
2015011119,2
2015011123,2
2015011222,2
2015011105,2
2015011121,2
2015011213,1
2015011107,2
2015011120,2
