userId,startTime,endTime
2015011230,2015/10/21 11:44,2015/10/21 17:11
2015011203,2015/10/09 15:38,2015/10/09 16:37
2015011301,2015/10/09 16:34,2015/10/09 16:38
2015011109,2015/10/21 15:46,2015/10/21 15:58
2015011117,2015/10/21 22:20,2015/10/22 00:21
2015011223,2015/10/22 01:41,2015/10/22 02:25
2015011218,2015/10/21 22:31,2015/10/21 22:32
2015011110,2015/10/21 20:33,2015/10/22 00:10
2015011124,2015/10/21 13:11,2015/10/21 23:12
2015011209,2015/10/21 12:39,2015/10/21 13:18
2015011206,2015/10/21 23:02,2015/10/22 00:30
2015011222,2015/10/11 16:24,2015/10/22 00:07
2015011106,2015/10/21 22:47,2015/10/21 23:21
2015011224,2015/10/21 14:39,2015/10/22 01:33
2015011107,2015/10/21 22:08,2015/10/21 23:05
2015011204,2015/10/21 11:45,2015/10/21 23:51
2015011215,2015/10/21 16:40,2015/10/21 21:50
2015011221,2015/10/21 16:29,2015/10/21 23:54
2015011105,2015/10/22 05:47,2015/10/22 05:52
2015011126,2015/10/20 05:26,2015/10/21 19:16
2015011204,2015/10/02 22:35,2015/10/03 02:25
2015011201,2015/10/09 14:39,2015/10/09 16:39
2015011209,2015/10/03 12:22,2015/10/12 17:16
2015011221,2015/10/04 21:42,2015/10/04 23:38
2015011220,2015/10/22 05:56,2015/10/22 05:56
2015011128,2015/10/21 22:35,2015/10/21 22:42
2015011223,2015/10/05 21:22,2015/10/05 23:00
2015011122,2015/10/21 13:00,2015/10/21 20:25
2015011217,2015/10/14 03:59,2015/10/21 17:14
2015011218,2015/10/06 12:04,2015/10/06 16:25
2015011207,2015/10/09 07:25,2015/10/21 13:34
2015011106,2015/10/07 00:13,2015/10/07 00:27
2015011213,2015/10/09 16:25,2015/10/09 16:37
2015011207,2015/10/08 19:47,2015/10/08 23:09
2015011202,2015/10/21 05:43,2015/10/21 18:35
2015011129,2015/10/09 16:34,2015/10/09 16:35
2015011128,2015/10/09 16:43,2015/10/09 16:43
2015011113,2015/10/21 10:48,2015/10/22 02:00
2015011111,2015/10/21 19:53,2015/10/21 19:56
2015011213,2015/10/10 07:36,2015/10/11 00:13
2015011101,2015/10/18 14:54,2015/10/22 00:06
2015011115,2015/10/21 21:05,2015/10/21 23:00
2015011227,2015/10/21 17:20,2015/10/21 23:58
2015011126,2015/10/11 13:47,2015/10/11 19:27
2015011111,2015/10/12 17:01,2015/10/12 23:33
2015011226,2015/10/21 13:37,2015/10/21 14:35
2015011109,2015/10/13 07:32,2015/10/13 16:35
2015011110,2015/10/14 21:35,2015/10/14 23:26
2015011107,2015/10/15 14:36,2015/10/16 00:44
2015011108,2015/10/21 06:01,2015/10/21 23:04
2015011216,2015/10/22 00:07,2015/10/22 00:17
2015011109,2015/10/16 03:23,2015/10/20 00:06
2015011224,2015/10/17 06:01,2015/10/18 00:22
2015011214,2015/10/21 14:31,2015/10/21 23:04
2015011201,2015/10/18 06:02,2015/10/19 02:33
