userId,sex,consumeAddress,consumeType,consumeYearMonth,makeCardDate,money
2015011113,2,8,2,201510,20150811,7.0
2015011116,2,8,2,201510,20150815,3.0
2015011116,2,8,2,201510,20150815,6.0
2015011205,2,8,2,201510,20150828,8.5
2015011205,2,8,2,201510,20150828,7.0
2015011205,2,8,2,201510,20150828,6.0
2015011205,2,8,2,201510,20150828,4.2
2015011205,2,8,2,201510,20150828,8.8
2015011205,2,8,2,201510,20150828,7.0
2015011213,2,8,2,201510,20150803,7.5
2015011213,2,8,2,201510,20150803,10.4
2015011213,2,8,2,201510,20150803,9.2
2015011213,2,8,2,201510,20150803,9.5
2015011213,2,8,2,201510,20150803,7.5
2015011213,2,8,2,201510,20150803,5.3
2015011214,2,8,2,201510,20150802,6.0
2015011214,2,8,2,201510,20150802,5.0
2015011214,2,8,2,201510,20150808,6.0
2015011214,2,8,2,201510,20150808,5.0
2015011116,2,7,2,201510,20150815,4.5
2015011213,2,7,2,201510,20150803,4.5
2015011213,2,7,2,201510,20150803,4.5
2015011207,1,6,2,201510,20150815,1.5
2015011207,1,6,2,201510,20150815,3.5
2015011207,1,6,2,201510,20150815,3.5
2015011207,1,6,2,201510,20150815,6.0
2015011208,1,6,2,201510,20150815,2.0
2015011208,1,6,2,201510,20150817,2.0
2015011117,1,5,2,201510,20150815,4.0
2015011225,1,5,2,201510,20150807,10.2
2015011225,1,5,2,201510,20150807,8.0
2015011202,1,4,2,201510,20150826,4.0
2015011202,1,4,2,201510,20150815,4.0
2015011117,1,15,1,201510,20150815,2.5
2015011117,1,15,1,201510,20150815,4.5
2015011117,1,15,1,201510,20150815,4.0
2015011126,1,15,1,201510,20150815,9.0
2015011126,1,15,1,201510,20150815,3.13
2015011126,1,15,1,201510,20150815,3.0
2015011126,1,15,1,201510,20150815,3.0
2015011126,1,15,1,201510,20150815,9.0
2015011126,1,15,1,201510,20150815,7.0
2015011126,1,15,1,201510,20150815,1.95
2015011126,1,15,1,201510,20150815,2.11
2015011208,1,15,1,201510,20150815,4.0
2015011208,1,15,1,201510,20150817,4.0
