userId,onlineYearMonth,semester,0hourOnlineCount,1hourOnlineCount,2hourOnlineCount,3hourOnlineCount,4hourOnlineCount,5hourOnlineCount,6hourOnlineCount,7hourOnlineCount,8hourOnlineCount,9hourOnlineCount,10hourOnlineCount,11hourOnlineCount,12hourOnlineCount,13hourOnlineCount,14hourOnlineCount,15hourOnlineCount,16hourOnlineCount,17hourOnlineCount,18hourOnlineCount,19hourOnlineCount,20hourOnlineCount,21hourOnlineCount,22hourOnlineCount,23hourOnlineCount
2015011115,201510,1,39,32,30,31,31,33,34,35,38,40,42,42,38,38,38,38,38,38,38,38,38,38,38,38
2015011215,201510,1,23,17,19,20,22,23,23,23,22,23,23,20,19,19,19,19,19,19,19,19,19,19,19,19
2015011112,201510,1,21,13,14,13,14,17,18,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18
2015011104,201510,1,13,13,12,12,11,9,11,14,15,14,16,14,12,12,12,12,12,12,12,12,12,12,12,12
2015011208,201510,1,26,19,19,19,20,21,24,26,26,29,29,31,25,25,25,25,25,25,25,25,25,25,25,25
2015011213,201510,1,11,7,6,7,9,8,8,11,11,12,13,13,9,9,9,9,9,9,9,9,9,9,9,9
2015011205,201510,1,9,2,2,2,3,6,8,11,11,13,14,14,8,8,8,8,8,8,8,8,8,8,8,8
2015011110,201510,1,12,7,7,9,9,11,14,14,15,16,21,16,10,10,10,10,10,10,10,10,10,10,10,10
2015011220,201510,1,13,6,9,9,10,11,13,16,15,15,15,13,11,11,11,11,11,11,11,11,11,11,11,11
2015011120,201510,1,19,13,13,16,18,19,21,22,22,22,22,22,18,18,18,18,18,18,18,18,18,18,18,18
