sex,onlineYearMonth,semester,duringTime,ranking
2,201510,1,19.133333333333333,179
2,201510,1,19.133333333333333,180
2,201510,1,19.083333333333332,181
2,201510,1,18.916666666666668,182
2,201510,1,18.916666666666668,183
2,201510,1,18.916666666666668,184
2,201510,1,18.9,185
2,201510,1,18.9,186
2,201510,1,18.9,187
2,201510,1,18.9,188
2,201510,1,18.9,189
2,201510,1,18.9,190
2,201510,1,18.9,191
2,201510,1,18.9,192
2,201510,1,18.9,193
2,201510,1,18.9,194
2,201510,1,18.9,195
2,201510,1,18.9,196
2,201510,1,18.9,197
2,201510,1,18.9,198
2,201510,1,18.9,199
2,201510,1,18.9,200
2,201510,1,18.9,201
2,201510,1,18.9,202
2,201510,1,18.9,203
2,201510,1,18.9,204
2,201510,1,18.9,205
2,201510,1,18.9,206
2,201510,1,18.9,207
2,201510,1,18.9,208
2,201510,1,18.9,209
2,201510,1,18.9,210
2,201510,1,18.9,211
2,201510,1,18.9,212
2,201510,1,18.9,213
2,201510,1,18.9,214
2,201510,1,18.9,215
2,201510,1,18.9,216
2,201510,1,18.9,217
2,201510,1,18.9,218
2,201510,1,18.9,219
2,201510,1,18.9,220
2,201510,1,18.883333333333333,221
2,201510,1,18.883333333333333,222
2,201510,1,18.883333333333333,223
2,201510,1,18.85,224
2,201510,1,18.85,225
2,201510,1,18.833333333333332,226
2,201510,1,18.816666666666666,227
2,201510,1,18.483333333333334,228
2,201510,1,18.483333333333334,229
2,201510,1,18.35,230
2,201510,1,18.283333333333335,231
2,201510,1,17.85,232
2,201510,1,17.85,233
2,201510,1,17.8,234
2,201510,1,17.783333333333335,235
2,201510,1,17.766666666666666,236
2,201510,1,17.4,237
2,201510,1,17.4,238
2,201510,1,17.233333333333334,239
2,201510,1,17.216666666666665,240
2,201510,1,17.216666666666665,241
2,201510,1,17.083333333333332,242
2,201510,1,17.066666666666666,243
2,201510,1,17.066666666666666,244
2,201510,1,17.066666666666666,245
2,201510,1,17.066666666666666,246
2,201510,1,17.066666666666666,247
2,201510,1,17.066666666666666,248
2,201510,1,17.066666666666666,249
2,201510,1,17.066666666666666,250
2,201510,1,17.066666666666666,251
2,201510,1,17.066666666666666,252
2,201510,1,17.05,253
2,201510,1,17.05,254
2,201510,1,17.05,255
2,201510,1,17.05,256
2,201510,1,17.05,257
2,201510,1,17.05,258
2,201510,1,17.05,259
2,201510,1,17.05,260
2,201510,1,17.05,261
2,201510,1,17.05,262
2,201510,1,17.05,263
2,201510,1,17.05,264
2,201510,1,17.05,265
2,201510,1,17.05,266
2,201510,1,17.05,267
2,201510,1,17.05,268
2,201510,1,17.05,269
2,201510,1,17.05,270
2,201510,1,17.05,271
2,201510,1,17.05,272
2,201510,1,17.05,273
2,201510,1,17.05,274
2,201510,1,17.05,275
2,201510,1,17.05,276
2,201510,1,17.05,277
2,201510,1,17.05,278
2,201510,1,17.05,279
2,201510,1,17.05,280
2,201510,1,17.05,281
2,201510,1,17.05,282
2,201510,1,17.05,283
2,201510,1,17.05,284
2,201510,1,17.05,285
2,201510,1,17.05,286
2,201510,1,17.05,287
2,201510,1,17.033333333333335,288
2,201510,1,17.033333333333335,289
2,201510,1,17.033333333333335,290
2,201510,1,17.033333333333335,291
2,201510,1,17.033333333333335,292
2,201510,1,17.033333333333335,293
2,201510,1,17.033333333333335,294
2,201510,1,17.033333333333335,295
2,201510,1,17.033333333333335,296
2,201510,1,17.033333333333335,297
2,201510,1,17.033333333333335,298
2,201510,1,17.033333333333335,299
2,201510,1,16.783333333333335,300
2,201510,1,16.7,301
2,201510,1,16.7,302
2,201510,1,16.633333333333333,303
2,201510,1,16.616666666666667,304
2,201510,1,16.616666666666667,305
2,201510,1,16.566666666666666,306
2,201510,1,16.55,307
2,201510,1,16.516666666666666,308
2,201510,1,16.483333333333334,309
2,201510,1,16.483333333333334,310
2,201510,1,16.433333333333334,311
2,201510,1,16.416666666666668,312
2,201510,1,16.416666666666668,313
2,201510,1,16.183333333333334,314
2,201510,1,16.1,315
2,201510,1,16.033333333333335,316
2,201510,1,15.95,317
2,201510,1,15.933333333333334,318
2,201510,1,15.883333333333333,319
2,201510,1,15.783333333333333,320
2,201510,1,15.583333333333334,321
2,201510,1,15.466666666666667,322
2,201510,1,15.45,323
2,201510,1,15.433333333333334,324
2,201510,1,15.366666666666667,325
2,201510,1,15.366666666666667,326
2,201510,1,15.333333333333334,327
2,201510,1,15.266666666666667,328
2,201510,1,15.25,329
2,201510,1,15.066666666666666,330
2,201510,1,15.033333333333333,331
2,201510,1,15.016666666666667,332
2,201510,1,15.016666666666667,333
2,201510,1,14.983333333333333,334
2,201510,1,14.95,335
2,201510,1,14.916666666666666,336
2,201510,1,14.916666666666666,337
2,201510,1,14.866666666666667,338
2,201510,1,14.783333333333333,339
2,201510,1,14.683333333333334,340
2,201510,1,14.683333333333334,341
2,201510,1,14.5,342
2,201510,1,14.483333333333333,343
2,201510,1,14.366666666666667,344
2,201510,1,14.05,345
2,201510,1,14.016666666666667,346
2,201510,1,13.9,347
2,201510,1,13.833333333333334,348
2,201510,1,13.833333333333334,349
2,201510,1,13.833333333333334,350
2,201510,1,13.8,351
2,201510,1,13.8,352
2,201510,1,13.783333333333333,353
2,201510,1,13.733333333333333,354
2,201510,1,13.7,355
2,201510,1,13.7,356
2,201510,1,13.616666666666667,357
2,201510,1,13.55,358
2,201510,1,13.55,359
2,201510,1,13.483333333333333,360
2,201510,1,13.45,361
2,201510,1,13.4,362
2,201510,1,13.3,363
2,201510,1,13.266666666666667,364
2,201510,1,12.95,365
2,201510,1,12.866666666666667,366
2,201510,1,12.833333333333334,367
2,201510,1,12.783333333333333,368
2,201510,1,12.716666666666667,369
2,201510,1,12.666666666666666,370
2,201510,1,12.533333333333333,371
2,201510,1,12.483333333333333,372
2,201510,1,12.45,373
2,201510,1,12.45,374
2,201510,1,12.433333333333334,375
2,201510,1,12.416666666666666,376
2,201510,1,12.333333333333334,377
2,201510,1,12.266666666666667,378
2,201510,1,12.233333333333333,379
2,201510,1,12.183333333333334,380
2,201510,1,12.166666666666666,381
2,201510,1,12.1,382
2,201510,1,12.1,383
2,201510,1,12.083333333333334,384
2,201510,1,12.0,385
2,201510,1,11.933333333333334,386
2,201510,1,11.866666666666667,387
2,201510,1,11.816666666666666,388
2,201510,1,11.633333333333333,389
2,201510,1,11.55,390
2,201510,1,11.45,391
2,201510,1,11.433333333333334,392
2,201510,1,11.05,393
2,201510,1,11.016666666666667,394
2,201510,1,10.916666666666666,395
2,201510,1,10.9,396
2,201510,1,10.7,397
2,201510,1,10.666666666666666,398
2,201510,1,10.65,399
2,201510,1,10.583333333333334,400
2,201510,1,10.466666666666667,401
2,201510,1,10.316666666666666,402
2,201510,1,10.216666666666667,403
2,201510,1,10.183333333333334,404
2,201510,1,10.133333333333333,405
2,201510,1,10.05,406
2,201510,1,10.016666666666667,407
2,201510,1,10.0,408
2,201510,1,9.95,409
2,201510,1,9.85,410
2,201510,1,9.8,411
2,201510,1,9.783333333333333,412
2,201510,1,9.733333333333333,413
2,201510,1,9.716666666666667,414
2,201510,1,9.666666666666666,415
2,201510,1,9.616666666666667,416
2,201510,1,9.616666666666667,417
2,201510,1,9.466666666666667,418
2,201510,1,9.333333333333334,419
2,201510,1,9.316666666666666,420
2,201510,1,9.316666666666666,421
2,201510,1,9.283333333333333,422
2,201510,1,9.283333333333333,423
2,201510,1,9.083333333333334,424
2,201510,1,9.05,425
2,201510,1,8.966666666666667,426
2,201510,1,8.966666666666667,427
2,201510,1,8.95,428
2,201510,1,8.783333333333333,429
2,201510,1,8.75,430
2,201510,1,8.683333333333334,431
2,201510,1,8.35,432
2,201510,1,8.2,433
2,201510,1,8.183333333333334,434
2,201510,1,8.033333333333333,435
2,201510,1,7.95,436
2,201510,1,7.883333333333334,437
2,201510,1,7.866666666666666,438
2,201510,1,7.75,439
2,201510,1,7.733333333333333,440
2,201510,1,7.683333333333334,441
2,201510,1,7.666666666666667,442
2,201510,1,7.666666666666667,443
2,201510,1,7.65,444
2,201510,1,7.6,445
2,201510,1,7.583333333333333,446
2,201510,1,7.566666666666666,447
2,201510,1,7.516666666666667,448
2,201510,1,7.45,449
2,201510,1,7.416666666666667,450
2,201510,1,7.416666666666667,451
2,201510,1,7.416666666666667,452
2,201510,1,7.266666666666667,453
2,201510,1,7.25,454
2,201510,1,7.2,455
2,201510,1,7.116666666666666,456
2,201510,1,7.1,457
2,201510,1,7.05,458
2,201510,1,7.033333333333333,459
2,201510,1,7.033333333333333,460
2,201510,1,6.916666666666667,461
2,201510,1,6.883333333333334,462
2,201510,1,6.866666666666666,463
2,201510,1,6.85,464
2,201510,1,6.733333333333333,465
2,201510,1,6.7,466
2,201510,1,6.633333333333334,467
2,201510,1,6.6,468
2,201510,1,6.6,469
2,201510,1,6.583333333333333,470
2,201510,1,6.533333333333333,471
2,201510,1,6.533333333333333,472
2,201510,1,6.5,473
2,201510,1,6.483333333333333,474
2,201510,1,6.483333333333333,475
2,201510,1,6.466666666666667,476
2,201510,1,6.45,477
2,201510,1,6.433333333333334,478
2,201510,1,6.416666666666667,479
2,201510,1,6.416666666666667,480
2,201510,1,6.383333333333334,481
2,201510,1,6.266666666666667,482
2,201510,1,6.25,483
2,201510,1,6.233333333333333,484
2,201510,1,6.166666666666667,485
2,201510,1,6.166666666666667,486
2,201510,1,6.133333333333334,487
2,201510,1,6.0,488
2,201510,1,5.983333333333333,489
2,201510,1,5.9,490
2,201510,1,5.9,491
2,201510,1,5.733333333333333,492
2,201510,1,5.733333333333333,493
2,201510,1,5.7,494
2,201510,1,5.683333333333334,495
2,201510,1,5.666666666666667,496
2,201510,1,5.666666666666667,497
2,201510,1,5.65,498
2,201510,1,5.65,499
2,201510,1,5.65,500
2,201510,1,5.633333333333334,501
2,201510,1,5.6,502
2,201510,1,5.566666666666666,503
2,201510,1,5.566666666666666,504
2,201510,1,5.55,505
2,201510,1,5.516666666666667,506
2,201510,1,5.45,507
2,201510,1,5.416666666666667,508
2,201510,1,5.4,509
2,201510,1,5.383333333333334,510
2,201510,1,5.35,511
2,201510,1,5.333333333333333,512
2,201510,1,5.3,513
2,201510,1,5.3,514
2,201510,1,5.283333333333333,515
2,201510,1,5.183333333333334,516
2,201510,1,5.166666666666667,517
2,201510,1,5.166666666666667,518
2,201510,1,5.083333333333333,519
2,201510,1,5.066666666666666,520
2,201510,1,5.066666666666666,521
2,201510,1,5.066666666666666,522
2,201510,1,5.033333333333333,523
2,201510,1,4.983333333333333,524
2,201510,1,4.95,525
2,201510,1,4.916666666666667,526
2,201510,1,4.833333333333333,527
2,201510,1,4.833333333333333,528
2,201510,1,4.816666666666666,529
2,201510,1,4.8,530
2,201510,1,4.733333333333333,531
2,201510,1,4.683333333333334,532
2,201510,1,4.683333333333334,533
2,201510,1,4.633333333333334,534
2,201510,1,4.616666666666666,535
2,201510,1,4.583333333333333,536
2,201510,1,4.566666666666666,537
2,201510,1,4.55,538
2,201510,1,4.55,539
2,201510,1,4.5,540
2,201510,1,4.483333333333333,541
2,201510,1,4.4,542
2,201510,1,4.366666666666666,543
2,201510,1,4.35,544
2,201510,1,4.316666666666666,545
2,201510,1,4.316666666666666,546
2,201510,1,4.283333333333333,547
2,201510,1,4.266666666666667,548
2,201510,1,4.216666666666667,549
2,201510,1,4.183333333333334,550
2,201510,1,4.183333333333334,551
2,201510,1,4.15,552
2,201510,1,4.083333333333333,553
2,201510,1,4.05,554
2,201510,1,4.0,555
2,201510,1,3.95,556
2,201510,1,3.9,557
2,201510,1,3.8833333333333333,558
2,201510,1,3.8833333333333333,559
2,201510,1,3.8333333333333335,560
2,201510,1,3.8333333333333335,561
2,201510,1,3.783333333333333,562
2,201510,1,3.783333333333333,563
2,201510,1,3.7333333333333334,564
2,201510,1,3.716666666666667,565
2,201510,1,3.7,566
2,201510,1,3.683333333333333,567
2,201510,1,3.6166666666666667,568
2,201510,1,3.6166666666666667,569
2,201510,1,3.566666666666667,570
2,201510,1,3.55,571
2,201510,1,3.55,572
2,201510,1,3.533333333333333,573
2,201510,1,3.3666666666666667,574
2,201510,1,3.3,575
2,201510,1,3.25,576
2,201510,1,3.2,577
2,201510,1,3.1666666666666665,578
2,201510,1,3.1666666666666665,579
2,201510,1,3.1166666666666667,580
2,201510,1,3.1166666666666667,581
2,201510,1,3.1,582
2,201510,1,3.0833333333333335,583
2,201510,1,2.966666666666667,584
2,201510,1,2.966666666666667,585
2,201510,1,2.966666666666667,586
2,201510,1,2.95,587
2,201510,1,2.933333333333333,588
2,201510,1,2.9166666666666665,589
2,201510,1,2.9,590
2,201510,1,2.9,591
2,201510,1,2.8833333333333333,592
2,201510,1,2.8666666666666667,593
2,201510,1,2.8666666666666667,594
2,201510,1,2.8666666666666667,595
2,201510,1,2.8333333333333335,596
2,201510,1,2.816666666666667,597
2,201510,1,2.8,598
2,201510,1,2.783333333333333,599
2,201510,1,2.783333333333333,600
2,201510,1,2.783333333333333,601
2,201510,1,2.7666666666666666,602
2,201510,1,2.75,603
2,201510,1,2.7333333333333334,604
2,201510,1,2.683333333333333,605
2,201510,1,2.5833333333333335,606
2,201510,1,2.55,607
2,201510,1,2.5166666666666666,608
2,201510,1,2.4833333333333334,609
2,201510,1,2.433333333333333,610
2,201510,1,2.433333333333333,611
2,201510,1,2.4166666666666665,612
2,201510,1,2.4,613
2,201510,1,2.3666666666666667,614
2,201510,1,2.3666666666666667,615
2,201510,1,2.35,616
2,201510,1,2.35,617
2,201510,1,2.35,618
2,201510,1,2.3,619
2,201510,1,2.3,620
2,201510,1,2.25,621
2,201510,1,2.25,622
2,201510,1,2.2333333333333334,623
2,201510,1,2.2,624
2,201510,1,2.2,625
2,201510,1,2.2,626
2,201510,1,2.183333333333333,627
2,201510,1,2.1666666666666665,628
2,201510,1,2.1666666666666665,629
2,201510,1,2.15,630
2,201510,1,2.15,631
2,201510,1,2.15,632
2,201510,1,2.15,633
2,201510,1,2.1166666666666667,634
2,201510,1,2.1166666666666667,635
2,201510,1,2.1,636
2,201510,1,2.1,637
2,201510,1,2.0833333333333335,638
2,201510,1,2.066666666666667,639
2,201510,1,2.066666666666667,640
2,201510,1,2.05,641
2,201510,1,2.05,642
2,201510,1,2.033333333333333,643
2,201510,1,2.0166666666666666,644
2,201510,1,2.0166666666666666,645
2,201510,1,2.0166666666666666,646
2,201510,1,2.0166666666666666,647
2,201510,1,2.0,648
2,201510,1,2.0,649
