userId,sex,consumeType,consumeYearMonth,consumeCount,canteenTotleMoney,superMarketTotleMoney,hospitalTotleMoney,showerRoomTotleMoney
2015011113,2,1,201510,8,34.7,0.0,0.0,0.0
2015011127,1,1,201510,13,73.35,0.0,0.0,0.0
2015011225,1,1,201510,21,105.29999999999998,0.0,0.0,0.0
2015011227,1,1,201510,4,17.5,0.0,0.0,0.0
2015011222,1,1,201510,14,96.39999999999999,0.0,0.0,0.0
2015011129,1,1,201510,8,46.0,0.0,0.0,0.0
2015011117,1,1,201510,19,80.0,0.0,0.0,0.0
2015011203,1,1,201510,14,65.36999999999999,0.0,0.0,0.0
2015011230,1,1,201510,15,70.89999999999999,0.0,0.0,0.0
2015011211,1,1,201510,12,82.1,0.0,0.0,0.0
2015011224,1,1,201510,6,26.5,0.0,0.0,0.0
2015011221,1,1,201510,1,7.0,0.0,0.0,0.0
2015011202,1,1,201510,20,137.1,0.0,0.0,0.0
2015011217,1,1,201510,3,25.4,0.0,0.0,0.0
2015011106,2,1,201510,1,8.0,0.0,0.0,0.0
2015011201,1,1,201510,22,129.0,0.0,0.0,0.0
2015011220,1,1,201510,42,204.0,0.0,0.0,0.0
2015011115,1,1,201510,5,57.3,0.0,0.0,0.0
2015011124,1,1,201510,10,72.62,0.0,0.0,0.0
2015011205,2,1,201510,5,26.1,0.0,0.0,0.0
2015011118,1,1,201510,44,202.83999999999992,0.0,0.0,0.0
2015011116,2,1,201510,11,47.50000000000001,0.0,0.0,0.0
2015011228,1,1,201510,10,70.5,0.0,0.0,0.0
2015011214,2,1,201510,14,97.6,0.0,0.0,0.0
2015011210,1,1,201510,10,71.3,0.0,0.0,0.0
2015011122,1,1,201510,15,100.99999999999999,0.0,0.0,0.0
2015011219,1,1,201510,27,123.01999999999998,0.0,0.0,0.0
2015011125,1,1,201510,1,10.5,0.0,0.0,0.0
2015011105,1,1,201510,1,8.0,0.0,0.0,0.0
2015011218,1,1,201510,10,57.5,0.0,0.0,0.0
2015011223,2,1,201510,8,30.700000000000003,0.0,0.0,0.0
2015011103,2,1,201510,1,2.0,0.0,0.0,0.0
2015011121,1,1,201510,18,115.40000000000002,0.0,0.0,0.0
2015011119,1,1,201510,15,58.839999999999996,0.0,0.0,0.0
2015011207,1,1,201510,23,90.2,0.0,0.0,0.0
2015011301,1,1,201510,3,26.2,0.0,0.0,0.0
2015011120,1,1,201510,14,89.3,0.0,0.0,0.0
2015011209,1,1,201510,3,19.0,0.0,0.0,0.0
2015011216,1,1,201510,13,70.5,0.0,0.0,0.0
2015011215,1,1,201510,46,185.41999999999996,0.0,0.0,0.0
2015011126,1,1,201510,29,135.08999999999997,0.0,0.0,0.0
